"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
2014,"C08",0.22,0.54,0.28,0.6,0.29,0.62,0,0,0.5,1.09,0,0
2015,"C08",0.27,0.53,0.35,0.65,0.33,0.67,0.6,0.6,0.43,0.89,0.19,0.19
2016,"C08",0.36,0.56,0.4,0.7,0.42,0.72,0.25,0.5,0.5,0.87,0.11,0.22
2017,"C08",0.3,0.54,0.31,0.61,0.31,0.61,0.33,0.67,0.5,0.97,0.05,0.1
2018,"C08",0.29,0.43,0.39,0.57,0.4,0.6,0.5,0.5,0.91,1.36,0.06,0.06
2019,"C08",0.32,0.61,0.38,0.74,0.41,0.73,0.5,0.5,0.52,0.93,0.08,0.08
2020,"C08",0.41,0.54,0.5,0.66,0.47,0.66,0.67,0.67,0.69,0.96,0.27,0.27
2021,"C08",0.36,0.52,0.44,0.56,0.45,0.57,0.38,0.5,0.73,0.93,0.12,0.16
2008,"C09",0,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"C09",0.12,0.25,0,0.25,0,0.25,NA,NA,NA,Inf,0,0
2010,"C09",0,0.25,0,0,0,0,NA,NA,NA,NA,0,0
2011,"C09",0.18,0.36,1,1,1,1,NA,NA,Inf,Inf,0,0
2012,"C09",0.17,0.33,0.33,0.67,0.33,0.67,NA,NA,1,2,0,0
2013,"C09",0,0.43,0,1,0,1,NA,NA,0,1,NA,NA
2014,"C09",0.18,0.45,1,1,1,1,NA,NA,Inf,Inf,NA,NA
2015,"C09",0,0.22,0,0.5,0,1,NA,NA,0,1,0,0
2016,"C09",0.2,0.4,0,0,0,0,NA,NA,NA,NA,0,0
2017,"C09",0.06,0.17,1,1,1,1,NA,NA,1,1,NA,NA
2018,"C09",0.08,0.42,0,0.5,0,0.5,NA,NA,0,1,0,0
2019,"C09",0.08,0.46,0,1,0,1,NA,NA,0,1,NA,NA
2020,"C09",0.47,0.47,0.8,0.8,0.75,0.75,1,1,1,1,0.5,0.5
2021,"C09",0.36,0.64,0.67,1,0.67,1,NA,NA,2,3,0,0
2008,"C10",0,0.08,0,0.29,0,0.2,0,0.5,0,0.25,0,0.33
2009,"C10",0.03,0.16,0.11,0.22,0.11,0.22,NA,NA,0.2,0.4,0,0
2010,"C10",0.05,0.29,0,0,0,0,0,0,0,0,0,0
2011,"C10",0.06,0.25,0,0.5,0,0.5,NA,NA,0,1,0,0
2012,"C10",0.24,0.39,0.5,0.8,0.56,0.89,NA,NA,0.83,1.33,0,0
2013,"C10",0.14,0.41,0.18,0.45,0.18,0.45,NA,NA,0.25,0.62,0,0
2014,"C10",0.13,0.44,0.31,0.62,0.33,0.67,0,0,0.44,0.89,0,0
2015,"C10",0.37,0.53,0.4,0.6,0.33,0.56,1,1,0.43,0.71,0.5,0.5
2016,"C10",0.35,0.63,0.47,0.6,0.58,0.67,0,0.33,0.78,0.89,0,0.17
2017,"C10",0.27,0.41,0.47,0.65,0.53,0.73,0,0,0.67,0.92,0,0
2018,"C10",0.34,0.51,0.33,0.67,0.38,0.69,0,0.5,0.56,1,0,0.17
2019,"C10",0.36,0.49,0.53,0.76,0.53,0.8,0.5,0.5,0.53,0.8,0.5,0.5
2020,"C10",0.48,0.7,0.47,0.76,0.5,0.75,0,1,0.62,0.92,0,0.25
2021,"C10",0.35,0.55,0.5,0.75,0.44,0.75,0.75,0.75,0.44,0.75,0.75,0.75
2008,"C11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"C11",0,0.5,0,1,0,1,NA,NA,NA,Inf,0,0
2010,"C11",0.33,0.67,0,1,0,1,NA,NA,NA,Inf,NA,NA
2011,"C11",0,0.5,0,1,0,1,NA,NA,0,1,NA,NA
2012,"C11",0.5,0.75,1,1,NA,NA,1,1,0,0,Inf,Inf
2013,"C11",0,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"C11",0.14,0.43,0,0,0,0,NA,NA,0,0,NA,NA
2015,"C11",0.14,0.57,0,0,0,0,NA,NA,NA,NA,0,0
2016,"C11",0.64,0.91,0.86,0.86,0.83,0.83,1,1,1.25,1.25,0.33,0.33
2017,"C11",0.25,0.5,0.5,1,0.5,1,NA,NA,0.5,1,NA,NA
2018,"C11",0.25,0.75,0,1,0,1,NA,NA,0,1,NA,NA
2019,"C11",0.25,0.5,0,0,0,0,NA,NA,0,0,NA,NA
2020,"C11",0.17,0.33,0,0.5,0,0.5,NA,NA,0,1,0,0
2021,"C11",0.2,0.4,0.33,0.67,0,0.5,1,1,0,0.5,1,1
2008,"C12",0.07,0.15,0.12,0.24,0.12,0.25,0,0,0.19,0.39,0,0
2009,"C12",0.13,0.24,0.24,0.37,0.25,0.37,0.2,0.4,0.33,0.5,0.07,0.13
2010,"C12",0.11,0.32,0.26,0.55,0.25,0.55,0.5,0.5,0.37,0.81,0.08,0.08
2011,"C12",0.19,0.45,0.29,0.6,0.31,0.6,0,0.67,0.39,0.76,0,0.18
2012,"C12",0.22,0.45,0.24,0.46,0.25,0.46,0.14,0.43,0.37,0.7,0.04,0.12
2013,"C12",0.23,0.52,0.27,0.56,0.27,0.59,0.25,0.25,0.38,0.81,0.06,0.06
2014,"C12",0.27,0.52,0.32,0.54,0.3,0.5,0.5,0.83,0.43,0.71,0.16,0.26
2015,"C12",0.27,0.58,0.34,0.69,0.33,0.65,0.4,1,0.39,0.78,0.14,0.36
2016,"C12",0.26,0.48,0.26,0.51,0.26,0.48,0.29,0.71,0.41,0.76,0.1,0.24
2017,"C12",0.25,0.54,0.27,0.5,0.29,0.51,0.11,0.44,0.37,0.63,0.06,0.24
2018,"C12",0.42,0.64,0.44,0.68,0.43,0.7,0.5,0.5,0.64,1.04,0.13,0.13
2019,"C12",0.3,0.46,0.3,0.49,0.29,0.51,0.38,0.38,0.42,0.74,0.15,0.15
2020,"C12",0.41,0.57,0.46,0.63,0.49,0.62,0.5,0.75,0.73,0.93,0.1,0.14
